keyword,labs_volume,ads_volume,us_volume,difficulty,intent,source
"одноклассники сайт",9900,9900,,11,navigational,ideas
"жгу сайт",9900,9900,,0,navigational,ideas
"сайт",5400,5400,,70,navigational,ideas
"резидентура сайт",5400,5400,,,navigational,ideas
"индиго сайт",4400,4400,,13,navigational,ideas
"егов кз сайт",2900,2900,,55,navigational,ideas
"казспорт сайт",2900,2900,,100,navigational,ideas
"нцт сайт",2400,2400,,30,navigational,ideas
"нцнэ сайт",2400,2400,,1,navigational,ideas
"балабакша сайт",2400,2400,,9,navigational,ideas
"олимп основной сайт",2400,2400,,62,navigational,ideas
"сайт ис эсф",1900,1900,,1,navigational,ideas
"гугл сайт",1900,1900,,39,navigational,ideas
"казавтожол сайт",1900,1900,,12,navigational,ideas
"нца сайт",1900,1900,,24,navigational,ideas
"егкн рк сайт",1900,1900,,9,navigational,ideas
"чача пити сайт",1900,1900,,16,navigational,ideas
"основной сайт олимп",1900,1900,,25,navigational,ideas
"шежіре сайт",1600,1600,,0,navigational,ideas
"нобд сайт",1600,1600,,6,navigational,ideas
"анвап сайт",1600,1600,,0,navigational,ideas
"сайт знакомств алматы",1600,1600,,0,navigational,ideas
"пинап сайт",1600,1600,,0,navigational,ideas
"пин ап сайт",1600,1600,,0,navigational,ideas
"исна сайт",1300,1300,,0,navigational,ideas
"сайта",1300,1300,,39,navigational,ideas
"память народа сайт",1300,1300,,33,navigational,ideas
"сайт знакомств табор",1300,1300,,8,navigational,ideas
"казату сайт",1000,1000,,36,navigational,ideas
"монами сайт",1000,1000,,0,navigational,ideas
"ену сайт",1000,1000,,58,navigational,ideas
"тильда сайт",1000,1000,,70,navigational,ideas
"анилибрия сайт",1000,1000,,28,navigational,ideas
"сайт вс рк",1000,1000,,30,navigational,ideas
"олимп новый сайт",1000,1000,,100,navigational,ideas
"wix сайт",880,880,,13,navigational,ideas
"создание сайта",880,880,,37,informational,ideas
"рпн сайт",880,880,,0,navigational,ideas
"сайт госзакупок",880,880,,74,navigational,ideas
"ерц сайт",880,880,,15,navigational,ideas
"акорда сайт",880,880,,48,navigational,ideas
"казнпу сайт",880,880,,0,navigational,ideas
"ак орда сайт",880,880,,35,navigational,ideas
"лира сайт",880,880,,0,navigational,ideas
"сайт жгу",880,880,,21,navigational,ideas
"енпф отбасы сайт",720,720,,29,navigational,ideas
"отиниш сайт",720,720,,12,navigational,ideas
"казнау сайт",720,720,,8,navigational,ideas
"алибаба сайт",720,720,,56,navigational,ideas
"pinterest сайт",720,720,,59,navigational,ideas
"анистар актуальный сайт",720,720,,0,navigational,ideas
"афм сайт",720,720,,13,navigational,ideas
"веб-сайт",720,720,,29,navigational,ideas
"проверка сайта",590,590,,41,informational,ideas
"bi group сайт",590,590,,15,navigational,ideas
"мвд рк сайт",590,590,,35,navigational,ideas
"сайт ену",590,590,,58,navigational,ideas
"скгу сайт",590,590,,6,navigational,ideas
"кхл сайт",590,590,,59,navigational,ideas
"c.ai сайт",590,590,,55,navigational,ideas
"жасыл даму сайт",590,590,,0,navigational,ideas
"зкату сайт",590,590,,4,navigational,ideas
"прототип сайта на бумаге",590,590,,0,informational,ideas
"спакес сайт",590,590,,6,navigational,ideas
"акмола кз сайт",590,590,,6,navigational,ideas
"зку сайт",590,590,,1,navigational,ideas
"куам сайт",480,480,,10,navigational,ideas
"даму бала сайт",480,480,,0,navigational,ideas
"загонка сайт",480,480,,0,navigational,ideas
"case battle сайт",480,480,,0,navigational,ideas
"lira сайт",480,480,,1,navigational,ideas
"сайт вку",480,480,,45,navigational,ideas
"сайт госзакупок рк",480,480,,74,navigational,ideas
"юкма сайт",480,480,,9,navigational,ideas
"муа сайт",480,480,,16,navigational,ideas
"казтест сайт",480,480,,0,navigational,ideas
"яндекс сайт",480,480,,63,navigational,ideas
"алт сайт",480,480,,9,navigational,ideas
"сайт эсф рк",480,480,,2,navigational,ideas
"фсмс сайт",480,480,,8,navigational,ideas
"adal bala сайт",480,480,,0,navigational,ideas
"pinterest com сайт",390,390,,73,navigational,ideas
"кгд сайт",390,390,,30,navigational,ideas
"цон сайт",390,390,,27,navigational,ideas
"сайт мвд рк",390,390,,36,navigational,ideas
"мемориал сайт",390,390,,33,navigational,ideas
"китайский сайт",390,390,,4,navigational,ideas
"дарын сайт",390,390,,17,navigational,ideas
"сайт мз рк",390,390,,31,navigational,ideas
"партия адилет сайт",390,390,,14,navigational,ideas
"сайт мо рк",390,390,,4,navigational,ideas
"ажк сайт",390,390,,6,navigational,ideas
"аниксарт сайт",320,320,,0,navigational,ideas
"миротворец сайт",320,320,,27,navigational,ideas
"оркен сайт",320,320,,20,navigational,ideas
"как создать сайт",320,320,,27,informational,ideas
"стим сайт",320,320,,52,informational,ideas
"нцгнтэ сайт",320,320,,22,navigational,ideas
"зкму сайт",320,320,,32,navigational,ideas
"е өтініш сайт",320,320,,14,navigational,ideas
"эсф новый сайт",320,320,,17,navigational,ideas
"гцвп сайт",320,320,,19,navigational,ideas
"твич сайт",320,320,,48,navigational,ideas
"гугл сайт создать",320,320,,6,navigational,ideas
"е конак сайт",320,320,,6,navigational,ideas
"сайт цик рк",320,320,,34,navigational,ideas
"rezka сайт",320,320,,2,navigational,ideas
"зона сайт",320,320,,7,navigational,ideas
"е лицензия сайт",320,320,,0,navigational,ideas
"госагро сайт",260,260,,0,navigational,ideas
"зку сайт расписание",260,260,,3,navigational,ideas
"казстандарт сайт",260,260,,0,navigational,ideas
"тап татти сайт",260,260,,2,navigational,ideas
"сайт кайрат",260,260,,14,navigational,ideas
"сайт казнму",260,260,,42,navigational,ideas
"ақорда сайт",260,260,,47,navigational,ideas
"сайт нца",260,260,,23,navigational,ideas
"тср сайт",260,260,,5,navigational,ideas
"сайт на английском",260,260,,8,navigational,ideas
"пинтерест сайт",260,260,,48,navigational,ideas
"орлеу сайт",260,260,,17,navigational,ideas
"казнму сайт",260,260,,13,navigational,ideas
"temu сайт",210,210,,0,navigational,ideas
"рцрз сайт",210,210,,21,navigational,ideas
"алсеко сайт",210,210,,5,navigational,ideas
"zona официальный сайт",210,210,,0,navigational,ideas
"цик рк сайт",210,210,,38,navigational,ideas
"сайт ерц астана",210,210,,0,navigational,ideas
"мид рк сайт",210,210,,10,navigational,ideas
"афтершок сайт",210,210,,2,navigational,ideas
"сайт гугл",210,210,,39,navigational,ideas
"тлаунчер сайт",170,170,,17,navigational,ideas
"проверить доступность сайта",170,170,,1,informational,ideas
"спеццон сайт",170,170,,19,navigational,ideas
"касе сайт",170,170,,39,navigational,ideas
"қмдб сайт",170,170,,83,navigational,ideas
"мок сайт",170,170,,2,navigational,ideas
"есомп сайт",170,170,,,navigational,ideas
"адрес сайта пример",170,170,,0,navigational,ideas
"анвар сайт",170,170,,0,navigational,ideas
"бакад сайт",170,170,,0,navigational,ideas
"лемана про сайт",170,170,,70,navigational,ideas
"википедия сайт",170,170,,20,navigational,ideas
"продвижение сайтов алматы",140,140,,23,commercial,ideas
"сайт кру байтурсынова",140,140,,19,navigational,ideas
"анилибрия новый сайт",140,140,,20,navigational,ideas
"шикимори сайт",140,140,,8,navigational,ideas
"сайт ктж руководство",140,140,,2,navigational,ideas
"сайт алтынсарина",140,140,,7,navigational,ideas
"гфсс сайт",140,140,,8,navigational,ideas
"летуаль сайт",140,140,,26,navigational,ideas
"крму сайт",140,140,,42,navigational,ideas
"сайт таргу",140,140,,9,navigational,ideas
"сандей сайт",140,140,,0,navigational,ideas
"zona сайт",140,140,,0,navigational,ideas
"эавр сайт",140,140,,1,navigational,ideas
"таргу сайт",140,140,,8,navigational,ideas
"сайт визитка",140,140,,0,navigational,ideas
"брк сайт",140,140,,100,navigational,ideas
"мангалиб сайт",140,140,,19,navigational,ideas
"сайт болашак",140,140,,40,navigational,ideas
"ржд сайт",140,140,,73,navigational,ideas
"атамекен сайт",140,140,,33,navigational,ideas
"мкту сайт",140,140,,5,navigational,ideas
"румцдо сайт",140,140,,2,navigational,ideas
"егкн сайт официальный",110,110,,,navigational,ideas
"behance сайт",110,110,,82,navigational,ideas
"мнво рк сайт",110,110,,20,navigational,ideas
"сайт эсф работает",110,110,,17,navigational,ideas
"сайт миротворец",110,110,,22,navigational,ideas
"ктрм сайт",110,110,,3,navigational,ideas
"айту сайт",110,110,,11,navigational,ideas
"игруха сайт",110,110,,11,navigational,ideas
"еаги сайт",110,110,,10,navigational,ideas
"майнкрафт официальный сайт",110,110,,98,navigational,ideas
"техрег сайт",110,110,,13,navigational,ideas
"сайт еэк",90,90,,72,navigational,ideas
"ерап сайт",90,90,,1,navigational,ideas
"кмдб сайт",90,90,,46,navigational,ideas
"сайт казмунайгаз",90,90,,14,navigational,ideas
"код енс тру сайт",90,90,,6,navigational,ideas
"еэк сайт",90,90,,71,navigational,ideas
"кгд мф рк сайт",90,90,,38,navigational,ideas
"е акимат сайт",90,90,,,navigational,ideas
"веб разработка",90,90,,8,informational,ideas
"кфф сайт",70,70,,,navigational,ideas
"конструктор сайта",70,70,,57,commercial,ideas
"мәжіліс сайт",70,70,,74,navigational,ideas
"е лицензирование сайт",70,70,,,navigational,ideas
"qyzpu сайт",70,70,,,navigational,ideas
"сайт кгу им ш уалиханова",70,70,,14,navigational,ideas
"нкт сайт рк",70,70,,,navigational,ideas
"сайт атамекен",70,70,,42,navigational,ideas
"шапка для сайта",70,70,,0,informational,ideas
"мвд сайт",70,70,,95,navigational,ideas
"кубик в кубе сайт",50,50,,0,navigational,ideas
"казаст сайт",50,50,,,navigational,ideas
"кпл сайт",50,50,,,navigational,ideas
"вишлист сайт",50,50,,,navigational,ideas
